NOAA Solar Calculations - Change any of the highlighted cells to get solar position data for that location and time-of-day for a year.,,,Date,Time (hrs past local midnight),Julian Day,Julian Century,,Geom Mean Long Sun (deg),Geom Mean Anom Sun (deg),Eccent Earth Orbit,Sun Eq of Ctr,Sun True Long (deg),Sun True Anom (deg),Sun Rad Vector (AUs),Sun App Long (deg),Mean Obliq Ecliptic (deg),Obliq Corr (deg),Sun Rt Ascen (deg),Sun Declin (deg),var y,Eq of Time (minutes),HA Sunrise (deg),Solar Noon (LST),Sunrise,Sunset,Sunlight Duration (minutes),True Solar Time (min),Hour Angle (deg),Solar Zenith Angle (deg),Solar Elevation Angle (deg),Approx Atmospheric Refraction (deg),Solar Elevation corrected for atm refraction (deg),Solar Azimuth Angle (deg cw from N),
,,,9/19/2021,12:00:00,2459477.17,0.21717089,,178.7856097,8175.474804,0.016699499,-1.842486213,176.9431235,8173.632318,1.004449005,176.9331012,23.43646698,23.43754881,177.1857133,1.219366304,0.04302795,6.334017684,92.0577979,13:02:01,6:53:47,19:10:15,736.4623832,657.9849377,-15.50376558,40.30969819,49.69030181,0.013679609,49.70398142,155.6003766,
,,,9/20/2021,12:00:00,2459478.17,0.21719827,,179.771257,8176.460404,0.016699498,-1.851063635,177.9201934,8174.609341,1.004172667,177.9101731,23.43646663,23.43755059,178.0824615,0.831072017,0.043027957,6.689650235,91.74346896,13:01:40,6:54:41,19:08:38,733.9477517,658.3405702,-15.41485744,40.64928099,49.35071901,0.013844501,49.36456352,155.9211337,
,,,9/21/2021,12:00:00,2459479.17,0.21722564,,180.7569044,8177.446005,0.016699497,-1.859101914,178.8978025,8175.586903,1.003895028,178.887784,23.43646627,23.43755238,178.9795281,0.442359756,0.043027963,7.044146964,91.4289654,13:01:18,6:55:35,19:07:01,731.4317232,658.695067,-15.32623326,40.99021764,49.00978236,0.014011737,49.0237941,156.2373001,
,,,9/22/2021,12:00:00,2459480.17,0.21725302,,181.7425518,8178.431605,0.016699495,-1.866598146,179.8759536,8176.565007,1.003616169,179.865937,23.43646591,23.43755417,179.876998,0.053323419,0.04302797,7.397173093,91.11432509,13:00:57,6:56:30,19:05:25,728.9146007,659.0480931,-15.23797673,41.33242439,48.66757561,0.014181334,48.68175695,156.5487959,
,,,9/23/2021,12:00:00,2459481.17,0.21728040,,182.7281991,8179.417205,0.016699494,-1.873549577,180.8546496,8177.543656,1.00333617,180.8446348,23.43646556,23.43755595,-179.2250436,-0.335942732,0.043027977,7.748392247,90.79958594,13:00:36,6:57:24,19:03:48,726.3966876,659.3993122,-15.15017194,41.67581604,48.32418396,0.014353306,48.33853726,156.855545,
,,,9/24/2021,12:00:00,2459482.17,0.21730778,,183.7138465,8180.402806,0.016699493,-1.879953605,181.8338929,8178.522852,1.003055113,181.8238801,23.4364652,23.43755774,-178.3265114,-0.725344059,0.043027984,8.097466584,90.48478603,13:00:15,6:58:19,19:02:11,723.8782882,659.7483866,-15.06290335,42.020306,47.979694,0.014527671,47.99422167,157.1574743,
,,,9/25/2021,12:00:00,2459483.17,0.21733516,,184.6994939,8181.388406,0.016699492,-1.88580778,182.8136861,8179.502598,1.002773078,182.8036751,23.43646485,23.43755952,-177.4273199,-1.11478553,0.04302799,8.444056942,90.16996361,12:59:54,6:59:14,19:00:35,721.3597089,660.0949769,-14.97625576,42.36580624,47.63419376,0.014704442,47.6488982,157.4545141,
,,,9/26/2021,12:00:00,2459484.17,0.21736254,,185.6851412,8182.374006,0.016699491,-1.891109807,183.7940314,8180.482896,1.002490148,183.7840224,23.43646449,23.4375613,-176.5273837,-1.504171706,0.043027997,8.787822991,89.85515724,12:59:34,7:00:08,18:58:59,718.8412579,660.438743,-14.89031425,42.71222741,47.28777259,0.014883634,47.30265622,157.746598,
,,,9/27/2021,12:00:00,2459485.17,0.21738992,,186.6707886,8183.359606,0.01669949,-1.895857547,184.774931,8181.463749,1.002206405,184.7649239,23.43646413,23.43756308,-175.6266173,-1.893406724,0.043028004,9.128423389,89.54040586,12:59:13,7:01:04,18:57:23,716.3232469,660.7793434,-14.80516415,43.05947879,46.94052121,0.015065261,46.95558647,158.0336625,
,,,9/28/2021,12:00:00,2459486.17,0.21741729,,187.656436,8184.345207,0.016699488,-1.900049016,185.7563869,8182.445158,1.001921932,185.7463817,23.43646378,23.43756486,-174.7249353,-2.282394283,0.04302801,9.465515959,89.22574889,12:58:53,7:01:59,18:55:47,713.8059911,661.116436,-14.72089101,43.40746835,46.59253165,0.015249336,46.60778098,158.3156472,
,,,9/29/2021,12:00:00,2459487.17,0.21744467,,188.6420833,8185.330807,0.016699487,-1.903682389,186.7384009,8183.427125,1.001636812,186.7283976,23.43646342,23.43756664,-173.8222525,-2.671037632,0.043028017,9.798757873,88.91122628,12:58:33,7:02:54,18:54:12,711.2898102,661.4496779,-14.63758053,43.75610279,46.24389721,0.01543587,46.25933308,158.5924945,
,,,9/30/2021,12:00:00,2459488.17,0.21747205,,189.6277307,8186.316407,0.016699486,-1.906756002,187.7209747,8184.409651,1.001351128,187.7109732,23.43646307,23.43756842,-172.9184836,-3.059239551,0.043028024,10.12780584,88.59687863,12:58:13,7:03:50,18:52:37,708.775029,661.7787258,-14.55531854,44.10528753,45.89471247,0.015624875,45.91033734,158.8641497,
,,,10/1/2021,12:00:00,2459489.17,0.21749943,,190.613378,8187.302007,0.016699485,-1.909268348,188.7041097,8185.392739,1.001064964,188.6941101,23.43646271,23.4375702,-172.0135438,-3.446902345,0.043028031,10.45231634,88.28274726,12:57:54,7:04:46,18:51:02,706.2619781,662.1032363,-14.47419092,44.45492675,45.54507325,0.015816361,45.56088961,159.130561,
,,,10/2/2021,12:00:00,2459490.17,0.21752681,,191.5990254,8188.287608,0.016699484,-1.911218085,189.6878073,8186.37639,1.000778404,189.6778097,23.43646235,23.43757197,-171.1073485,-3.833927826,0.043028037,10.77194579,87.9688743,12:57:35,7:05:42,18:49:27,703.7509944,662.4228658,-14.39428355,44.80492344,45.19507656,0.016010336,45.2110869,159.391679,
,,,10/3/2021,12:00:00,2459491.17,0.21755419,,192.5846728,8189.273208,0.016699483,-1.912604031,190.6720687,8187.360604,1.000491532,190.662073,23.436462,23.43757375,-170.1998134,-4.2202173,0.043028044,11.08635087,87.65530277,12:57:16,7:06:38,18:47:53,701.2424222,662.7372709,-14.31568228,45.15517938,44.84482062,0.016206809,44.86102743,159.647457,
,,,10/4/2021,12:00:00,2459492.17,0.21758157,,193.5703201,8190.258808,0.016699482,-1.91342517,191.656895,8188.345383,1.000204433,191.6469012,23.43646164,23.43757552,-169.2908545,-4.605671562,0.043028051,11.39518867,87.34207668,12:56:57,7:07:35,18:46:19,698.7366135,663.0461087,-14.23847283,45.50559521,44.49440479,0.016405785,44.51081057,159.8978511,
,,,10/5/2021,12:00:00,2459493.17,0.21760894,,194.5559675,8191.244409,0.01669948,-1.913680648,192.6422869,8189.330728,0.999917191,192.632295,23.43646129,23.4375773,-168.3803884,-4.99019088,0.043028057,11.69811706,87.02924111,12:56:39,7:08:32,18:44:46,696.2339289,663.3490371,-14.16274073,45.85607045,44.14392955,0.016607271,44.16053682,160.1428197,
,,,10/6/2021,12:00:00,2459494.17,0.21763632,,195.5416149,8192.230009,0.016699479,-1.913369781,193.6282451,8190.316639,0.999629892,193.6182551,23.43646093,23.43757907,-167.4683323,-5.373674989,0.043028064,11.9947949,86.71684229,12:56:21,7:09:29,18:43:13,693.7347383,663.6457149,-14.08857128,46.20650349,43.79349651,0.016811268,43.81030777,160.3823237,
,,,10/7/2021,12:00:00,2459495.17,0.21766370,,196.5272622,8193.215609,0.016699478,-1.912492047,194.6147702,8191.303117,0.99934262,194.6047822,23.43646057,23.43758084,-166.5546037,-5.756023079,0.043028071,12.28488236,86.40492769,12:56:04,7:10:27,18:41:41,691.2394215,663.9358024,-14.01604941,46.55679168,43.44320832,0.017017778,43.4602261,160.6163263,
,,,10/8/2021,12:00:00,2459496.17,0.21769108,,197.5129096,8194.201209,0.016699477,-1.911047095,195.6018625,8192.290162,0.999055461,195.5918764,23.43646022,23.43758261,-165.639121,-6.13713379,0.043028077,12.56804126,86.09354612,12:55:47,7:11:24,18:40:09,688.748369,664.2189613,-13.94525968,46.90683131,43.09316869,0.017226803,43.1103955,160.8447934,
,,,10/9/2021,12:00:00,2459497.17,0.21771846,,198.498557,8195.18681,0.016699476,-1.90903474,196.5895222,8193.277775,0.998768499,196.5795381,23.43645986,23.43758438,-164.7218032,-6.516905206,0.043028084,12.84393537,85.78274779,12:55:30,7:12:22,18:38:38,686.2619823,664.4948554,-13.87628616,47.25651764,42.74348236,0.017438338,42.7609207,161.067693,
,,,10/10/2021,12:00:00,2459498.17,0.21774584,,199.4842043,8196.17241,0.016699475,-1.906454968,197.5777494,8194.265955,0.998481821,197.5677672,23.43645951,23.43758615,-163.80257,-6.895234848,0.043028091,13.11223079,85.47258442,12:55:14,7:13:21,18:37:08,683.7806754,664.7631508,-13.8092123,47.60574497,42.39425503,0.017652381,42.41190741,161.2849956,
,,,10/11/2021,12:00:00,2459499.17,0.21777321,,200.4698517,8197.15801,0.016699473,-1.903307935,198.5665438,8195.254702,0.998195511,198.5565635,23.43645915,23.43758792,-162.8813422,-7.272019674,0.043028098,13.37259626,85.16310932,12:54:59,7:14:19,18:35:38,681.3048746,665.0235163,-13.74412093,47.95440664,42.04559336,0.017868925,42.06346229,161.4966738,
,,,10/12/2021,12:00:00,2459500.17,0.21780059,,201.455499,8198.143611,0.016699472,-1.899593965,199.5559051,8196.244017,0.997909656,199.5459268,23.43645879,23.43758969,-161.9580413,-7.64715607,0.043028104,13.62470363,84.85437746,12:54:43,7:15:18,18:34:09,678.8350197,665.2756236,-13.68109409,48.30239505,41.69760495,0.01808796,41.71569291,161.7027027,
,,,10/13/2021,12:00:00,2459501.17,0.21782797,,202.4411464,8199.129211,0.016699471,-1.895313556,200.5458329,8197.233897,0.997624341,200.5358565,23.43645844,23.43759145,-161.03259,-8.020539856,0.043028111,13.86822817,84.54644556,12:54:29,7:16:18,18:32:40,676.3715645,665.5191482,-13.62021296,48.64960174,41.35039826,0.018309475,41.36870774,161.9030597,
,,,10/14/2021,12:00:00,2459502.17,0.21785535,,203.4267938,8200.114811,0.01669947,-1.890467377,201.5363264,8198.224344,0.997339651,201.526352,23.43645808,23.43759322,-160.1049119,-8.392066285,0.043028118,14.10284903,84.2393722,12:54:15,7:17:17,18:31:12,673.9149776,665.753769,-13.56155774,48.99591736,41.00408264,0.018533456,41.0226161,162.0977241,
,,,10/15/2021,12:00:00,2459503.17,0.21788273,,204.4124411,8201.100411,0.016699469,-1.885056269,202.5273849,8199.215355,0.997055671,202.5174124,23.43645773,23.43759498,-159.1749319,-8.761630041,0.043028124,14.32824965,83.93321786,12:54:01,7:18:17,18:29:45,671.4657428,665.9791696,-13.50520759,49.34123175,40.65876825,0.018759886,40.67752814,162.286678,
,,,10/16/2021,12:00:00,2459504.17,0.21791011,,205.3980885,8202.086012,0.016699468,-1.879081247,203.5190073,8200.20693,0.996772487,203.5090368,23.43645737,23.43759675,-158.2425761,-9.129125249,0.043028131,14.54411823,83.628045,12:53:48,7:19:18,18:28:19,669.02436,666.1950382,-13.45124044,49.68543397,40.31456603,0.018988744,40.33355477,162.4699054,
,,,10/17/2021,12:00:00,2459505.17,0.21793749,,206.3837359,8203.071612,0.016699467,-1.872543497,204.5111924,8201.199068,0.996490185,204.5012239,23.43645701,23.43759851,-157.307772,-9.49444548,0.043028137,14.75014814,83.32391819,12:53:36,7:20:18,18:26:54,666.5913455,666.4010681,-13.39973297,50.02841233,39.97158767,0.019220006,39.99080768,162.6473925,
,,,10/18/2021,12:00:00,2459506.17,0.21796486,,207.3693832,8204.057212,0.016699465,-1.865444381,205.5039389,8202.191768,0.99620885,205.4939723,23.43645666,23.43760027,-156.3704483,-9.857483755,0.043028144,14.94603843,83.02090413,12:53:24,7:21:19,18:25:29,664.167233,666.5969584,-13.35076039,50.3700544,39.6299456,0.019453645,39.64939925,162.8191281,
,,,10/19/2021,12:00:00,2459507.17,0.21799224,,208.3550306,8205.042813,0.016699464,-1.857785433,206.4972452,8203.185027,0.995928566,206.4872806,23.4364563,23.43760203,-155.4305355,-10.21813256,0.043028151,15.13149429,82.71907175,12:53:13,7:22:20,18:24:06,661.752574,666.7824143,-13.30439643,50.7102471,39.2897529,0.019689631,39.30944253,162.985103,
,,,10/20/2021,12:00:00,2459508.17,0.21801962,,209.340678,8206.028413,0.016699463,-1.849568364,207.4911096,8204.178844,0.995649418,207.481147,23.43645595,23.43760379,-154.4879655,-10.57628385,0.043028157,15.30622755,82.41849227,12:53:03,7:23:22,18:22:43,659.3479381,666.9571475,-13.26071311,51.04887671,38.95112329,0.019927927,38.97105122,163.1453102,
,,,10/21/2021,12:00:00,2459509.17,0.21804700,,210.3263253,8207.014013,0.016699462,-1.840795055,208.4855303,8205.173218,0.995371491,208.4755697,23.43645559,23.43760555,-153.5426721,-10.93182909,0.043028164,15.46995716,82.11923928,12:52:53,7:24:24,18:21:21,656.9539142,667.1208772,-13.21978071,51.3858289,38.6141711,0.020168494,38.6343396,163.2997453,
,,,10/22/2021,12:00:00,2459510.17,0.21807438,,211.3119727,8207.999613,0.016699461,-1.831467566,209.4805051,8206.168146,0.99509487,209.4705465,23.43645523,23.43760731,-152.5945907,-11.28465923,0.043028171,15.62240974,81.8213888,12:52:44,7:25:26,18:20:01,654.5711104,667.2733297,-13.18166756,51.7209888,38.2790112,0.02041129,38.29942249,163.4484058,
,,,10/23/2021,12:00:00,2459511.17,0.21810176,,212.2976201,8208.985214,0.01669946,-1.821588129,210.4760319,8207.163625,0.994819639,210.4660753,23.43645488,23.43760906,-151.6436586,-11.63466474,0.043028177,15.76332007,81.52501934,12:52:35,7:26:29,18:18:41,652.2001547,667.4142401,-13.14643998,52.05424103,37.94575897,0.020656264,37.96641523,163.5912917,
,,,10/24/2021,12:00:00,2459512.17,0.21812914,,213.2832674,8209.970814,0.016699458,-1.811159151,211.4721083,8208.159655,0.994545881,211.4621536,23.43645452,23.43761082,-150.6898153,-11.98173568,0.043028184,15.89243161,81.23021196,12:52:27,7:27:32,18:17:23,649.8416957,667.5433516,-13.1141621,52.38546975,37.61453025,0.020903364,37.63543362,163.7284054,
,,,10/25/2021,12:00:00,2459513.17,0.21815651,,214.2689148,8210.956414,0.016699457,-1.800183214,212.4687316,8209.156231,0.99427368,212.4587789,23.43645416,23.43761257,-149.7330021,-12.32576162,0.043028191,16.00949705,80.93705031,12:52:20,7:28:35,18:16:05,647.4964024,667.660417,-13.08489574,52.71455868,37.28544132,0.021152532,37.30659385,163.8597513,
,,,10/26/2021,12:00:00,2459514.17,0.21818389,,215.2545621,8211.942014,0.016699456,-1.788663074,213.4658991,8210.153351,0.994003119,213.4559484,23.43645381,23.43761433,-148.7731627,-12.6666318,0.043028197,16.1142788,80.64562069,12:52:14,7:29:39,18:14:49,645.1649655,667.7651988,-13.0587003,53.0413912,36.9586088,0.021403703,36.9800125,163.9853364,
,,,10/27/2021,12:00:00,2459515.17,0.21821127,,216.2402095,8212.927615,0.016699455,-1.776601661,214.4636078,8211.151013,0.993734281,214.4536592,23.43645345,23.43761608,-147.8102432,-13.00423502,0.043028204,16.20654959,80.35601211,12:52:09,7:30:43,18:13:34,642.8480969,667.8574696,-13.0356326,53.36585036,36.63414964,0.021656807,36.65580645,164.1051699,
,,,10/28/2021,12:00:00,2459516.17,0.21823865,,217.2258569,8213.913215,0.016699454,-1.764002081,215.4618548,8212.149213,0.993467249,215.4519082,23.4364531,23.43761783,-146.8441918,-13.3384598,0.04302821,16.28609294,80.06831629,12:52:04,7:31:47,18:12:20,640.5465304,667.9370129,-13.01574677,53.68781891,36.31218109,0.021911769,36.33409285,164.2192633,
,,,10/29/2021,12:00:00,2459517.17,0.21826603,,218.2115042,8214.898815,0.016699453,-1.750867609,216.4606366,8213.147948,0.993202105,216.450692,23.43645274,23.43761958,-145.8749595,-13.66919433,0.043028217,16.35270371,79.78262773,12:52:00,7:32:52,18:11:08,638.2610218,668.0036237,-12.99909407,54.00717943,35.99282057,0.022168507,36.01498907,164.3276304,
,,,10/30/2021,12:00:00,2459518.17,0.21829341,,219.1971516,8215.884416,0.016699452,-1.737201699,217.4599499,8214.147214,0.992938929,217.4500073,23.43645238,23.43762133,-144.9024999,-13.99632654,0.043028224,16.40618866,79.49904368,12:51:57,7:33:57,18:09:56,635.9923494,668.0571087,-12.98572283,54.32381431,35.67618569,0.022426932,35.69861263,164.4302876,
,,,10/31/2021,12:00:00,2459519.17,0.21832078,,220.182799,8216.870016,0.01669945,-1.723007973,218.459791,8215.147008,0.992677805,218.4498504,23.43645203,23.43762308,-143.9267691,-14.31974414,0.04302823,16.44636691,79.21766423,12:51:54,7:35:02,18:08:46,633.7413138,668.0972869,-12.97567827,54.63760581,35.36239419,0.022686949,35.38508114,164.5272533,
,,,11/1/2021,12:00:00,2459520.17,0.21834816,,221.1684463,8217.855616,0.016699449,-1.708290228,219.4601561,8216.147326,0.992418811,219.4502176,23.43645167,23.43762482,-142.9477264,-14.63933467,0.043028237,16.47307052,78.93859224,12:51:53,7:36:07,18:07:38,631.508738,668.1239905,-12.96900237,54.94843618,35.05156382,0.022948456,35.07451228,164.6185484,
,,,11/2/2021,12:00:00,2459521.17,0.21837554,,222.1540937,8218.841216,0.016699448,-1.693052432,220.4610413,8217.148164,0.992162028,220.4511047,23.43645132,23.43762657,-141.9653338,-14.95498556,0.043028243,16.48614493,78.66193343,12:51:52,7:37:13,18:06:31,629.2954674,668.1370649,-12.96573377,55.25618764,34.74381236,0.023211344,34.76702371,164.7041963,
,,,11/3/2021,12:00:00,2459522.17,0.21840292,,223.1397411,8219.826817,0.016699447,-1.677298725,221.4624423,8218.149518,0.991907535,221.4525078,23.43645096,23.43762832,-140.9795566,-15.26658412,0.04302825,16.48544952,78.38779627,12:51:52,7:38:19,18:05:25,627.1023702,668.1363695,-12.96590762,55.56074248,34.43925752,0.023475496,34.46273301,164.7842225,
,,,11/4/2021,12:00:00,2459523.17,0.21843030,,224.1253884,8220.812417,0.016699446,-1.661033414,222.464355,8219.151384,0.991655412,222.4544225,23.4364506,23.43763006,-139.9903631,-15.57401769,0.043028257,16.47085806,78.11629205,12:51:53,7:39:25,18:04:21,624.9303364,668.1217781,-12.96955549,55.86198314,34.13801686,0.023740787,34.16175765,164.8586549,
,,,11/5/2021,12:00:00,2459524.17,0.21845768,,225.1110358,8221.798017,0.016699445,-1.644260979,223.4667748,8220.153756,0.991405737,223.4568444,23.43645025,23.4376318,-138.9977251,-15.87717362,0.043028263,16.44225916,77.84753481,12:51:54,7:40:31,18:03:18,622.7802785,668.0931792,-12.97670521,56.1597922,33.8402078,0.024007084,33.86421488,164.9275238,
,,,11/6/2021,12:00:00,2459525.17,0.21848506,,226.0966831,8222.783618,0.016699443,-1.626986068,224.4696971,8221.156631,0.991158587,224.4597687,23.43644989,23.43763355,-138.0016176,-16.17593938,0.04302827,16.39955676,77.58164129,12:51:57,7:41:37,18:02:17,620.6531303,668.0504768,-12.98738081,56.45405253,33.54594747,0.024274246,33.57022171,164.9908617,
,,,11/7/2021,12:00:00,2459526.17,0.21851243,,227.0823305,8223.769218,0.016699442,-1.609213494,225.473117,8222.160004,0.99091404,225.4631907,23.43644954,23.43763529,-137.0020194,-16.47020259,0.043028276,16.34267053,77.31873093,12:52:00,7:42:44,18:01:17,618.5498474,667.9935905,-13.00160237,56.74464731,33.25535269,0.024542125,33.27989482,165.0487035,
,,,11/8/2021,12:00:00,2459527.17,0.21853981,,228.0679779,8224.754818,0.016699441,-1.59094824,226.4770296,8223.16387,0.990672171,226.4671053,23.43644918,23.43763703,-135.9989126,-16.75985112,0.043028283,16.27153632,77.05892575,12:52:05,7:43:51,18:00:19,616.471406,667.9224563,-13.01938592,57.03146007,32.96853993,0.024810563,32.99335049,165.1010863,
,,,11/9/2021,12:00:00,2459528.17,0.21856719,,229.0536252,8225.740418,0.01669944,-1.572195453,227.4814298,8224.168223,0.990433057,227.4715075,23.43644882,23.43763877,-134.9922834,-17.04477314,0.04302829,16.18610652,76.80235031,12:52:10,7:44:57,17:59:22,614.4188025,667.8370265,-13.04074337,57.31437482,32.68562518,0.025079392,32.71070457,165.1480496,
,,,11/10/2021,12:00:00,2459529.17,0.21859457,,230.0392726,8226.726019,0.016699439,-1.552960444,228.4863122,8225.173058,0.990196772,228.476392,23.43644847,23.43764051,-133.9821217,-17.32485721,0.043028296,16.08635041,76.54913164,12:52:16,7:46:04,17:58:28,612.3930531,667.7372704,-13.0656824,57.59327609,32.40672391,0.025348438,32.43207235,165.189635,
,,,11/11/2021,12:00:00,2459530.17,0.21862195,,231.02492,8227.711619,0.016699438,-1.533248687,229.4916713,8226.17837,0.98996339,229.4817532,23.43644811,23.43764224,-132.9684211,-17.59999235,0.043028303,15.97225458,76.29939909,12:52:23,7:47:11,17:57:34,610.3951927,667.6231746,-13.09420635,57.86804897,32.13195103,0.025617515,32.15756854,165.2258864,
,,,11/12/2021,12:00:00,2459531.17,0.21864933,,232.0105673,8228.697219,0.016699437,-1.51306582,230.4975015,8227.184153,0.989732984,230.4875855,23.43644776,23.43764398,-131.9511797,-17.87006814,0.043028309,15.84382315,76.05328427,12:52:30,7:48:18,17:56:43,608.4262741,667.4947432,-13.12631421,58.13857925,31.86142075,0.025886431,31.88730718,165.2568499,
,,,11/13/2021,12:00:00,2459532.17,0.21867671,,232.9962147,8229.682819,0.016699435,-1.492417639,231.5037971,8228.190402,0.989505627,231.4938831,23.4364474,23.43764571,-130.9303995,-18.13497478,0.043028316,15.70107813,75.81092088,12:52:39,7:49:24,17:55:54,606.487367,667.3519981,-13.16200047,58.40475341,31.59524659,0.026154982,31.62140157,165.2825736,
,,,11/14/2021,12:00:00,2459533.17,0.21870408,,233.9818621,8230.66842,0.016699434,-1.471310099,232.510552,8229.19711,0.989281391,232.50064,23.43644704,23.43764745,-129.9060866,-18.39460319,0.043028322,15.54405962,75.5724446,12:52:48,7:50:31,17:55:06,604.5795568,667.1949796,-13.2012551,58.66645878,31.33354122,0.026422955,31.35996417,165.3031079,
,,,11/15/2021,12:00:00,2459534.17,0.21873146,,234.9675094,8231.65402,0.016699433,-1.449749314,233.5177601,8230.204271,0.989060345,233.5078503,23.43644669,23.43764918,-128.8782518,-18.64884511,0.043028329,15.37282608,75.33799293,12:52:59,7:51:37,17:54:20,602.7039434,667.0237461,-13.24406348,58.92358355,31.07641645,0.026690131,31.10310658,165.3185052,
,,,11/16/2021,12:00:00,2459535.17,0.21875884,,235.9531568,8232.63962,0.016699432,-1.427741553,234.5254152,8231.211879,0.98884256,234.5155075,23.43644633,23.43765091,-127.8469098,-18.89759319,0.043028335,15.18745449,75.10770499,12:53:10,7:52:44,17:53:36,600.86164,666.8383745,-13.29040638,59.17601687,30.82398313,0.026956278,30.85093941,165.32882,
,,,11/17/2021,12:00:00,2459536.17,0.21878622,,236.9388041,8233.625221,0.016699431,-1.405293239,235.5335109,8232.219927,0.988628105,235.5236052,23.43644598,23.43765265,-126.8120803,-19.14074109,0.043028342,14.98804054,74.88172139,12:53:22,7:53:50,17:52:53,599.0537711,666.6389605,-13.34025986,59.42364893,30.57635107,0.027221156,30.60357222,165.3341087,
,,,11/18/2021,12:00:00,2459537.17,0.21881360,,237.9244515,8234.610821,0.01669943,-1.382410948,236.5420406,8233.22841,0.988417047,236.532137,23.43644562,23.43765438,-125.773787,-19.37818357,0.043028348,14.77469872,74.66018395,12:53:34,7:54:56,17:52:13,597.2814716,666.4256187,-13.39359532,59.66637104,30.33362896,0.027484516,30.36111347,165.3344298,
,,,11/19/2021,12:00:00,2459538.17,0.21884098,,238.9100989,8235.596421,0.016699429,-1.359101405,237.5509975,8234.23732,0.988209453,237.541096,23.43644526,23.4376561,-124.7320586,-19.60981661,0.043028355,14.5475624,74.44323558,12:53:48,7:56:02,17:51:34,595.5458846,666.1984824,-13.4503794,59.90407571,30.09592429,0.027746102,30.12367039,165.3298436,
,,,11/20/2021,12:00:00,2459539.17,0.21886836,,239.8957462,8236.582021,0.016699427,-1.335371486,238.5603748,8235.24665,0.988005389,238.5504753,23.43644491,23.43765783,-123.6869283,-19.83553751,0.043028362,14.30678392,74.23101996,12:54:03,7:57:07,17:50:58,593.8481597,665.9577039,-13.51057402,60.13665672,29.86334328,0.028005647,29.89134893,165.3204122,
,,,11/21/2021,12:00:00,2459540.17,0.21889573,,240.8813936,8237.567622,0.016699426,-1.311228211,239.5701654,8236.256394,0.98780492,239.5602681,23.43644455,23.43765956,-122.6384339,-20.05524499,0.043028368,14.05253455,74.02368138,12:54:18,7:58:12,17:50:23,592.189451,665.7034545,-13.57413636,60.36400919,29.63599081,0.028262877,29.66425369,165.3061997,
,,,11/22/2021,12:00:00,2459541.17,0.21892311,,241.867041,8238.553222,0.016699425,-1.286678748,240.5803622,8237.266543,0.98760811,240.570467,23.4364442,23.43766129,-121.5866181,-20.26883932,0.043028375,13.7850045,73.82136438,12:54:34,7:59:17,17:49:51,590.5709151,665.4359245,-13.64101887,60.58602971,29.41397029,0.028517509,29.4424878,165.2872719,
,,,11/23/2021,12:00:00,2459542.17,0.21895049,,242.8526883,8239.538822,0.016699424,-1.261730404,241.5909579,8238.277092,0.987415021,241.5810648,23.43644384,23.43766301,-120.5315281,-20.4762224,0.043028381,13.50440282,73.62421359,12:54:51,8:00:21,17:49:20,588.9937087,665.1553228,-13.71116929,60.80261637,29.19738363,0.028769253,29.22615288,165.2636963,
,,,11/24/2021,12:00:00,2459543.17,0.21897787,,243.8383357,8240.524423,0.016699423,-1.236390628,242.6019451,8239.288032,0.987225715,242.592054,23.43644348,23.43766473,-119.4732161,-20.6772979,0.043028388,13.21095731,73.43237335,12:55:08,8:01:25,17:48:52,587.4589868,664.8618773,-13.78453067,61.01366888,28.98633112,0.029017813,29.01534893,165.2355418,
,,,11/25/2021,12:00:00,2459544.17,0.21900525,,244.8239831,8241.510023,0.016699422,-1.210667008,243.613316,8240.299356,0.987040252,243.6034271,23.43644313,23.43766646,-118.4117388,-20.87197138,0.043028394,12.90491435,73.24598745,12:55:27,8:02:28,17:48:26,585.9678996,664.5558344,-13.86104141,61.21908862,28.78091138,0.029262884,28.81017426,165.2028794,
,,,11/26/2021,12:00:00,2459545.17,0.21903263,,245.8096304,8242.495623,0.01669942,-1.184567267,244.6250632,8241.311056,0.986858691,244.6151764,23.43644277,23.43766818,-117.347158,-21.06015039,0.043028401,12.58653873,73.06519884,12:55:46,8:03:30,17:48:01,584.5215907,664.2374587,-13.94063532,61.41877875,28.58122125,0.029504157,28.6107254,165.1657812,
,,,11/27/2021,12:00:00,2459546.17,0.21906000,,246.7952778,8243.481223,0.016699419,-1.15809926,245.6371785,8242.323124,0.98668109,245.6272938,23.43644242,23.4376699,-116.27954,-21.24174457,0.043028407,12.25611338,72.89014926,12:56:06,8:04:32,17:47:39,583.1211941,663.9070334,-14.02324166,61.61264428,28.38735572,0.029741317,28.41709704,165.1243209,
,,,11/28/2021,12:00:00,2459547.17,0.21908738,,247.7809251,8244.466824,0.016699418,-1.131270975,246.6496542,8243.335553,0.986507507,246.6397716,23.43644206,23.43767162,-115.2089557,-21.4166658,0.043028414,11.91393914,72.72097894,12:56:26,8:05:33,17:47:19,581.7678315,663.5648591,-14.10878522,61.80059215,28.19940785,0.029974045,28.22938189,165.0785738,
,,,11/29/2021,12:00:00,2459548.17,0.21911476,,248.7665725,8245.452424,0.016699417,-1.104090528,247.662482,8244.348333,0.986337997,247.6526015,23.4364417,23.43767334,-114.135481,-21.58482831,0.04302842,11.56033441,72.55782626,12:56:47,8:06:33,17:47:01,580.4626101,663.2112544,-14.1971864,61.98253133,28.01746867,0.030202017,28.04767068,165.0286164,
